CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.51851394,CCCCCCCCccccOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOcc,45
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,2.113943352,CCCCCCCCccccOCCOCCOcc,21
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,1.986771734,CCCCCCCCccccOCCOCCOCCOcc,24
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,2.113943352,CCCCCCCCccccOCCOCCOCCOCCOcc,27
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,2.176091259,CCCCCCCCccccOCCOCCOCCOCCOCCOcc,30
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,2.322219295,CCCCCCCCccccOCCOCCOCCOCCOCCOCCOcc,33
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,2.397940009,CCCCCCCCccccOCCOCCOCCOCCOCCOCCOCCOcc,36
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.447158031,CCCCCCCCccccOCCOCCOCCOCCOCCOCCOCCOCCOcc,39
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.477121255,CCCCCCCCccccOCCOCCOCCOCCOCCOCCOCCOCCOCCOcc,42
CCCCCCCCC=CCCCCCCCC(=O)OC1(OC2(CO)OC(CO)C(O)C2O)OC(CO)C(O)C(O)C1O,0.707570176,CCCCCCCCCCCCCCCCCCOOCOCCOOCCOCOCOOCCOCOCOCO,43
CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,1.986771734,CCCCCCCCCCOCCONCCCOCO,21
CCCCCC(=O)CC(=O)NC1CCOC1=O,3.336459734,CCCCCCOCCONCCCOCO,17
CCCCCCCCCCCC(=O)NC1CCOC1=O,0.602059991,CCCCCCCCCCCCONCCCOCO,20
CCCCCCCCCCCCCCCC(=O)NC1CCOC1=O,-0.795880017,CCCCCCCCCCCCCCCCONCCCOCO,24
CCCCCCCCOCC(O)CO,3.763427994,CCCCCCCCOCCOCO,14
CCCCCCCCOC1OC(CO)C(O)C(O)C1O,4.397940009,CCCCCCCCOCOCCOCOCOCO,20
CCCCOCC(O)C(O)C(O)CO,4.763427994,CCCCOCCOCOCOCO,14
CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,3.255272505,CCCCCCCCCCOOCCOCOCOCO,21
CCCCCCC(=O)OCC(O)C(O)C(O)CO,4,CCCCCCCOOCCOCOCOCO,18
CCCCCCCOCC(O)C(O)C(O)CO,3.963787827,CCCCCCCOCCOCOCOCO,17
CCCCCC(=O)OCC(O)C(O)C(O)CO,4.763427994,CCCCCCOOCCOCOCOCO,17
